,dataname,time,acc,mae
0,ERA_or,93.15105376666669,0.24453333333333332,1.2145333333333332
1,ESL_or,19.471685466666667,0.705737705,0.3103825333333334
2,LEV_or,513.3171789,0.6206666666666665,0.4122666666666667
3,SWD_or,46.063415299999996,0.5663999999999999,0.45119999999999993
4,automobile_or,0.16633513333333333,0.6038461543333333,0.4570512333333333
5,balance_or,0.11707473333333333,0.9048832286666665,0.10785566666666666
6,bondrate_or,0.017926333333333332,0.551111111,0.5888887999999999
7,car_or,9.73915073333333,0.9234567913333334,0.07723753333333333
8,contact_or,0.0174698,0.6555555573333334,0.43333330000000003
9,eucalyptus_or,19.060297400000003,0.6414855076666666,0.3860507666666667
10,newthyroid_or,0.017609733333333336,0.9691358010000002,0.030864399999999997
11,pasture_or,0.012562666666666666,0.6703703726666665,0.3296294
12,squash-stored_or,0.017388666666666667,0.6461538476666665,0.36410233333333325
13,squash-unstored_or,0.015025066666666668,0.7000000003333333,0.2999997666666667
14,tae_or,0.6880447333333334,0.523684211,0.5587719333333332
15,toy_or,15.754720566666666,0.27288889133333327,0.9666669000000002
16,winequality-red_or,1004.4561156666667,0.5938333333333333,0.4392500000000001
17,abalone_5bins,25.3022502,0.45904941899999996,0.6871261000000001
18,bank1_5bins,0.15314410000000003,0.7210636220000001,0.28348070000000003
19,bank2_5bins,0.11939339999999998,0.3469693225,0.91411245
20,calhousing_5bins,1.6314851000000004,0.5043972665,0.5938041999999999
21,census1_5bins,6.1700165,0.429780176,0.73927425
22,census2_5bins,6.313231999999999,0.409225557,0.78190305
23,computer1_5bins,0.33757630000000005,0.612055117,0.43785834999999995
24,computer2_5bins,0.13987619999999998,0.6668650049999999,0.3661709
25,housing_5bins,0.2117984,0.6512135914999999,0.39368929999999996
26,machine_5bins,0.9201706499999999,0.5940677965000001,0.43728819999999996
27,pyrim_5bins,0.026593450000000008,0.5020833335,0.6354167500000001
28,stock_5bins,46.50783615,0.6257142865,0.3955714
29,abalone10_10bins,159.3536095,0.25530374549999996,1.4373308000000002
30,bank1_10bins,0.7724358,0.523648981,0.5477831
31,bank2_10bins,0.09998625,0.1841197495,1.8634224500000003
32,calhousing_10bins,6.3361729,0.28934358350000006,1.24034175
33,census1_10bins,4.3687106500000015,0.24383873599999997,1.5293865000000002
34,census2_10bins,6.580979499999998,0.22140010599999996,1.6230959999999999
35,computer1_10bins,1.4421662,0.412178695,0.8779473
36,computer2_10bins,0.5873039,0.458485187,0.7523738499999999
37,housing10_10bins,0.4206908499999999,0.40121359200000006,0.8859224000000001
38,machine10_10bins,5.83557435,0.357627119,0.9194915000000001
39,pyrim10_10bins,0.1448086,0.2937500009999999,1.3999998999999999
40,stock10_10bins,118.34505320000001,0.41214285850000004,0.80157145
