,dataname,time,acc,mae
0,wlb_bd,0.5079111,0.3155113,0.9781431
1,winequality-white_bd,1.0939211,0.5773991666666666,0.46613406666666657
2,winequality_bd,0.7768768,0.5605720333333334,0.4838400666666667
3,ESL_or,0.006256933333333333,0.7161201333333334,0.29836060000000003
4,LEV_or,0.006824100000000001,0.6248000000000001,0.41106666666666675
5,SWD_or,0.011465066666666668,0.576,0.43600000000000005
6,automobile_or,0.42209703333333337,0.7076922333333333,0.34871789999999997
7,balance_or,0.7279131666666666,0.9811040666666667,0.018895977333333334
8,bondrate_or,0.0099386,0.5666665666666667,0.5777777666666668
9,car_or,6.170466233333332,0.9202930666666667,0.08148148333333331
10,contact_or,0.00034806666666666665,0.6500001666666667,0.47222216666666667
11,eucalyptus_or,0.2892166666666667,0.6813406,0.3297101333333333
12,newthyroid_or,0.006423866666666666,0.9524689666666665,0.04753086333333333
13,pasture_or,0.005381866666666667,0.7222225000000001,0.27777749999999996
14,squash-stored_or,0.012993633333333334,0.6538463666666668,0.3743587666666667
15,squash-unstored_or,0.0056769333333333335,0.7564104999999999,0.24358950666666662
16,tae_or,0.06724353333333334,0.5385965333333332,0.5885965333333334
17,toy_or,0.0008194666666666666,0.28577773333333334,1.0684444333333334
18,ERA_or,0.007920700000000001,0.2612,1.2556
19,winequality-red_or,0.0333962,0.60675,0.4224166666666667
20,abalone10_10bins,0.2530444499999999,0.276141,1.4974665000000003
21,bank1_10bins,0.014982000000000004,0.3821665999999999,0.8410648499999999
22,bank2_10bins,0.07175075,0.1661328,2.086418
23,calhousing_10bins,0.013419,0.28181310000000004,1.3319550000000002
24,census1_10bins,0.00369805,0.26428645,1.381618
25,census2_10bins,0.012587700000000002,0.25371055,1.4273779999999998
26,computer1_10bins,0.019435849999999998,0.35682769999999997,1.0144961
27,computer2_10bins,0.07060114999999999,0.39750834999999995,0.8683776
28,housing10_10bins,0.033116650000000004,0.43082529999999997,0.840291
29,machine10_10bins,0.004868849999999999,0.39661019999999997,0.9033900000000001
30,pyrim10_10bins,0.052934100000000005,0.23125006499999995,1.414583
31,stock10_10bins,0.13868704999999998,0.6958571499999999,0.32071425
32,abalone_5bins,0.28247640000000007,0.4708530000000001,0.7051778499999999
33,bank1_5bins,0.006440899999999999,0.6027328,0.42495089999999996
34,bank2_5bins,0.025807900000000005,0.34105595,0.9456205000000001
35,calhousing_5bins,0.01843525,0.4698975999999999,0.6623059500000001
36,census1_5bins,0.0036228999999999996,0.47541685000000006,0.6544695
37,census2_5bins,0.008681149999999999,0.4619575,0.6728457999999999
38,computer1_5bins,0.02243155,0.5551595500000001,0.5112642
39,computer2_5bins,0.09141029999999999,0.5998822500000001,0.4418991
40,housing_5bins,0.022763300000000004,0.6434466500000001,0.39805834999999995
41,machine_5bins,0.0079322,0.6059321999999999,0.43220344999999993
42,pyrim_5bins,0.06610010000000001,0.48333319999999996,0.63333325
43,stock_5bins,0.23606434999999998,0.85171425,0.14899999999999997
