,dataname,time,acc,mae
0,ERA_or,0.11668146666666669,0.27519999999999994,1.2370666666666668
1,ESL_or,0.041127800000000006,0.706010929,0.30956283333333334
2,LEV_or,0.04653910000000001,0.6218666666666666,0.4112
3,SWD_or,0.0529572,0.5697333333333334,0.45160000000000006
4,automobile_or,0.4577175666666667,0.564102565,0.5980769333333333
5,car_or,1.0844760333333334,0.9212191366666665,0.07993826666666665
6,eucalyptus_or,4.1192293666666675,0.21702898499999995,1.8695651333333336
7,newthyroid_or,0.02295856666666666,0.9648148130000003,0.035185466666666665
8,squash-stored_or,0.1510309333333333,0.37692307599999997,0.8307693
9,squash-unstored_or,0.15482496666666665,0.31538461333333334,0.8743590333333333
10,tae_or,0.25562213333333333,0.507894737,0.6324561
11,toy_or,0.018575366666666662,0.34133333399999993,0.9177777666666667
12,winequality-red_or,0.100624,0.594,0.43933333333333324
13,balance_or,0.03192263333333333,0.9038216569999996,0.10976646666666666
14,contact_or,0.07443620000000001,0.611111112,0.5444443999999999
15,bondrate_or,0.1257388,0.3288888886666667,0.9311111000000002
16,pasture_or,0.11016329999999999,0.5074074076666667,0.5703703999999999
17,abalone10_10bins,0.9716681999999999,0.2787063254999999,1.54246145
18,bank1_10bins,0.01299475,0.5258843030000001,0.5497176500000001
19,bank2_10bins,0.03968144999999999,0.19741283799999998,2.02567465
20,calhousing_10bins,0.028518150000000003,0.3071766715,1.25609565
21,census1_10bins,0.0318578,0.2611084074999999,1.6178092
22,census2_10bins,0.04632964999999999,0.2333554735,1.7068609000000001
23,computer1_10bins,0.0267447,0.43041893200000003,0.8811852
24,computer2_10bins,0.03763255,0.4788335194999999,0.7364509499999999
25,housing10_10bins,0.06485055,0.41529126149999995,0.8888349
26,machine10_10bins,0.024187099999999996,0.36949152649999994,0.9127118000000001
27,pyrim10_10bins,0.12804115000000002,0.25625,1.7124999500000004
28,stock10_10bins,0.09396795,0.44499999949999997,0.8480000499999999
29,abalone_5bins,0.81678145,0.47293043749999997,0.7163833499999999
30,bank1_5bins,0.00516825,0.722752396,0.28248585
31,bank2_5bins,0.02895755,0.36098312200000005,0.9952016
32,calhousing_5bins,0.0196088,0.5115202535000001,0.5975671
33,census1_5bins,0.027845150000000003,0.458129507,0.7482419
34,census2_5bins,0.038942950000000004,0.4315333865,0.79256995
35,computer1_5bins,0.017832049999999995,0.6215768655000001,0.4304684
36,computer2_5bins,0.02242745,0.660958225,0.37537505000000004
37,housing_5bins,0.0424381,0.6468446605,0.39927194999999993
38,machine_5bins,0.01676795,0.6033898310000001,0.43135594999999993
39,pyrim_5bins,0.11247690000000002,0.5125,0.73541665
40,stock_5bins,0.05766795,0.634857143,0.39214289999999996
41,wlb_bd,1.3013626,0.314755228,0.9863480333333333
42,winequality_bd,0.5165353666666667,0.5398442443333333,0.5163336666666667
43,winequality-white_bd,0.3341,0.5256747213333334,0.5316266
