,dataname,time,acc,mae
0,wlb_bd,11416.75423223333,0.311938265,0.9651292333333331
1,winequality_bd,43.18747986666667,0.5765001426666667,0.46233493333333336
2,winequality-white_bd,336.8330188,0.5482592343333332,0.4963001000000001
3,abalone10_10bins,9.69054865,0.2711992435,1.3606861499999998
4,bank1_10bins,0.049201499999999995,0.5039363785,0.5764799500000001
5,bank2_10bins,0.09379225,0.17888998350000004,1.8828632000000003
6,calhousing_10bins,0.3008506000000001,0.29027086350000003,1.2485944000000002
7,census1_10bins,0.28713175,0.24382767899999996,1.5096334000000002
8,census2_10bins,0.44155500000000003,0.23821510749999997,1.5114682499999996
9,computer1_10bins,0.025384100000000003,0.396422392,0.9054374
10,computer2_10bins,0.06396605000000001,0.45149993850000003,0.7680922500000001
11,housing10_10bins,1.8856388,0.44441747449999996,0.7597086499999999
12,machine10_10bins,0.07442315000000001,0.35084745799999995,0.9101695000000001
13,pyrim10_10bins,0.0186833,0.260416667,1.33958335
14,stock10_10bins,15.530047950000005,0.7535714289999998,0.25285715
15,ERA_or,20.012287433333338,0.24586666666666662,1.2157333333333336
16,ESL_or,0.43748499999999996,0.7142076499999999,0.3010928666666667
17,LEV_or,4.900618033333333,0.6234666666666667,0.41226666666666667
18,SWD_or,2.5773308000000004,0.5706666666666667,0.44466666666666665
19,automobile_or,0.2923666333333333,0.6698717936666668,0.39743593333333327
20,balance_or,0.44155196666666663,0.9976645436666667,0.0023354666666666668
21,bondrate_or,0.010332333333333334,0.5288888876666666,0.6177777999999999
22,car_or,3.1631831333333333,0.9871913586666666,0.012808666666666666
23,contact_or,0.0072586000000000005,0.6222222239999999,0.4888888333333333
24,eucalyptus_or,0.5272643666666667,0.6423913050000002,0.3913043666666667
25,newthyroid_or,0.0129697,0.9666666650000001,0.033333499999999995
26,pasture_or,0.005624633333333332,0.6666666696666665,0.3333330333333334
27,squash-stored_or,0.012375966666666665,0.6384615396666666,0.37179466666666666
28,squash-unstored_or,0.006324266666666667,0.7384615386666665,0.26153823333333337
29,tae_or,0.09491296666666668,0.6043859670000002,0.45263149999999996
30,toy_or,0.14321466666666666,0.9813333333333332,0.018666666666666668
31,winequality-red_or,11.8334058,0.6170833333333333,0.41866666666666663
32,abalone_5bins,8.01552575,0.47566887050000006,0.65604335
33,bank1_5bins,0.026675749999999998,0.7163227710000001,0.28839364999999995
34,bank2_5bins,0.04582295,0.34458543799999997,0.9194098499999999
35,calhousing_5bins,0.15526035000000002,0.5026891165,0.5994803000000001
36,census1_5bins,0.2675107,0.4423548145,0.7252508999999999
37,census2_5bins,0.25755925,0.43155109750000004,0.7387885500000001
38,computer1_5bins,0.03333555,0.6060677210000001,0.4467313
39,computer2_5bins,0.0245373,0.6570410320000001,0.37445140000000005
40,housing_5bins,0.2775898,0.674999999,0.35461170000000003
41,machine_5bins,0.0654651,0.5872881350000001,0.45508475
42,pyrim_5bins,0.01909135,0.5062500005,0.5895835
43,stock_5bins,0.7751266999999998,0.8915714275000001,0.1084285
